,mse_mean,mse_std,mae_mean,mae_std,r2_mean,r2_std
Random Forest,22417.428150878644,42528.30975661711,27.272435445569307,41.33116455512946,0.9943951267679726,0.010321620061272003
XGBoost,20742.776701698327,41217.80399708332,22.519188010968232,40.48281824387994,0.9949293971061707,0.010053974572533634
CatBoost,142327.0177581511,85885.50976472384,132.43135615091313,60.82551647831918,0.9608983891519383,0.032940614558751365
LightGBM,54163.46387878439,55830.810187375704,96.31530184554484,75.96137787695243,0.9896398139748458,0.011207796582373393
MLP,420099.77971343836,360931.6519655934,426.8817634786954,216.3291982760872,0.8360774091500371,0.17820204335705384
